"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"IPI-483","iPix1","Workflow engine v2: dependencies & approvals","**Spec:** `linear/issues/IPI-483-PLN-008-workflow-engine-v2-dependencies-approvals.md`

## What this builds

Advanced workflow engine features on top of the core planner: dependency-based auto-shift, gate approval workflows, and multi-instance dependency tracking. Enables the ""live schedule"" that reacts to changes.

### Instance Lifecycle (State Diagram)

```mermaid
stateDiagram-v2
    [*] --> Draft: create_instance
    Draft --> Planned: generate_schedule
    Planned --> Active: start_first_task
    Active --> Blocked: gate_blocks
    Blocked --> Active: gate_approved
    Active --> AtRisk: risk_detected
    AtRisk --> Active: risk_resolved
    Active --> Completed: final_task_done
    Completed --> Archived: archive
    Draft --> Cancelled: cancel
    Planned --> Cancelled: cancel
    Active --> Cancelled: cancel
```

### Dependency Auto-Shift

```mermaid
flowchart TD
    A[Task ""Item delivery"" end_date moved +2 days] --> B[Engine queries planner.dependencies]
    B --> C{Successor exists?}
    C -->|Yes| D[Calculate forward shift + lag]
    D --> E[Update successor start/end dates]
    E --> F{Successor has successors?}
    F -->|Yes| D
    F -->|No| G[Mark plan as AtRisk if deadline missed]
    C -->|No| H[No propagation]
    G --> I[Notify affected assignees]
```

### Engine Types (Class Diagram)

```mermaid
classDiagram
    class PlannerEngine {
        +buildSchedule(phases, params)
        +shiftTask(taskId, deltaDays, tasks, deps)
        +detectCycles(deps)
        +checkGate(instance, phase, tasks, assignments, userId)
        +resolveDependencies(taskId, deps)
        +getEffectivePermissions(userId, assignments, instanceId)
    }
    class Task { +id, +instanceId, +phaseId, +title, +startDate, +endDate, +status, +priority }
    class Dependency { +id, +fromTaskId, +toTaskId, +depType, +lagDays }
    class Instance { +id, +orgId, +workflowId, +entityType, +entityId, +status }
    PlannerEngine --> Task : manages
    PlannerEngine --> Dependency : resolves
    PlannerEngine --> Instance : gates
    Task ""1"" --> ""*"" Dependency : has
```

### Acceptance criteria

* A — Dependency auto-shift: changing a task's dates propagates to successors with lag/type awareness.
* B — Gate approval flow: phase gates check task completion + role hierarchy before advancing.
* C — Cycle detection at shift time prevents infinite loops.
* D — Permission matrix enforces 4-tier role model (owner/manager/contributor/viewer) on all mutations.","Backlog",,"High","1adb08a8-6c36-4bc9-8b47-2c9ffb827a89","DESIGN V2 — Operator React Parity","ai@socialmediaville.ca",,"build-on-v2, DESIGNV2, Feature, prefix:INT, Supabase",,,,,"2026-07-09T01:07:35.584Z","2026-07-09T05:31:54.765Z",,,,,,"2026-07-16T01:07:36.967Z","IPI-484","IPIX-INIT-001 — Operator Platform (Q3 2026)",,,"MediumRisk","f189d991-1b2d-4876-a708-c53c655b2737",1306,"IPI-484","IPI-477, IPI-476, IPI-479, IPI-478",
"IPI-482","iPix1","Mastra planner AI tools + CopilotKit HITL","**Spec:** `linear/issues/IPI-482-PLN-007-mastra-planner-ai-tools-copilotkit-hitl.md`

## What this builds

AI-powered planning inside the CopilotKit chat sidebar. The Mastra `production-planner` agent provides tools for schedule generation, shift analysis, and gate checks — all requiring explicit human approval (HITL) before writing to the DB.

### AI Schedule Generation with HITL

```mermaid
flowchart TD
    A[User asks: ""Build a 5-week schedule for Summer Lookbook""] --> B[Mastra production-planner agent]
    B --> C[Tool: buildSchedule]
    C --> D[Read workflow template + deliverables]
    D --> E[Generate proposed tasks + dependencies]
    E --> F[Return draft to chat]
    F --> G{User approves?}
    G -->|Yes| H[Tool: commitSchedule]
    H --> I[Edge function: schedule-shoot-plan]
    I --> J[INSERT planner.tasks + dependencies]
    J --> K[Notify subscribers]
    G -->|No| L[User edits / cancels]
    L --> M[Agent revises draft]
    M --> F
```

### User Journey

```mermaid
journey
    title Producer schedules a 5-week shoot with AI
    section Create plan
      Open shoot schedule: 5: Producer
      Generate AI schedule: 4: Producer, AI Agent
      Review proposed timeline: 4: Producer
      Approve schedule: 5: Producer
    section Execute
      Invite team members: 4: Producer
      Monitor phase transitions: 4: Producer
      Resolve blocker: 3: Producer, Photographer
      Approve final delivery: 5: Client approver
    section Wrap
      Archive instance: 5: Producer
```

### Acceptance criteria

* A — Mastra `production-planner` agent has tools: `buildSchedule`, `shiftTask`, `resolveDependencies`, `checkGate`, `getEffectivePermissions`.
* B — All WRITE tools require CopilotKit HITL (human-in-the-loop) confirmation before executing.
* C — CopilotKit sidepanel shows draft timeline as an A2UI card before commit.
* D — Agent reads current schedule state via RLS (READ tools).
* E — Agent responds in natural language with date summaries, warnings, and explanations.","Backlog",,"High","1adb08a8-6c36-4bc9-8b47-2c9ffb827a89","DESIGN V2 — Operator React Parity","ai@socialmediaville.ca",,"build-on-v2, DESIGNV2, Feature, MASTRA, prefix:INT, track:ai",,,,,"2026-07-09T01:07:25.095Z","2026-07-09T05:31:38.222Z",,,,,,"2026-07-16T01:07:25.673Z","IPI-486","IPIX-INIT-001 — Operator Platform (Q3 2026)",,,"MediumRisk","455be57d-6ac3-4a5c-a680-e47e8540377a",1307,"IPI-484","IPI-476, IPI-477",
"IPI-481","iPix1","Notification rules + Cloudflare Queue fan-out","**Spec:** `linear/issues/IPI-481-PLN-006-notification-rules-cloudflare-queue-fan-out.md`

## What this builds

Declarative notification rules engine that triggers email / SMS / push / in-app alerts on planner events (phase transitions, gate approvals, task assignments). Uses Cloudflare Queues for reliable fan-out delivery.

### Notification Fan-Out

```mermaid
sequenceDiagram
    participant Task as planner.tasks UPDATE
    participant Edge as schedule-shoot-plan edge function
    participant PG as Postgres
    participant Queue as planner-notify Queue
    participant Worker as planner-notify Worker
    participant SES as Email provider
    participant FCM as Push provider

    Task->>Edge: phase transition detected
    Edge->>PG: INSERT public.notifications
    Edge->>PG: SELECT planner.notification_rules
    Edge->>Queue: enqueue notification job
    Queue->>Worker: deliver job
    Worker->>PG: fetch notification + user prefs
    Worker->>SES: send email
    Worker->>FCM: send push
    Worker->>PG: update delivery_status
```

### Acceptance criteria

* A — `planner.notification_rules` table stores declarative rules: event_type, target_role, channel, template_ref, delay_minutes.
* B — On planner event INSERT, an edge function evaluates matching rules and enqueues notification jobs.
* C — Cloudflare Queue buffers and retries delivery (max 3 retries, backoff).
* D — Channels: in_app (via existing `public.notifications`), email, push.
* E — Users can opt out per channel via user preferences.","Backlog",,"High","1adb08a8-6c36-4bc9-8b47-2c9ffb827a89","DESIGN V2 — Operator React Parity","ai@socialmediaville.ca",,"build-on-v2, CLOUDFLARE, DESIGNV2, Feature, prefix:INT",,,,,"2026-07-09T01:07:11.862Z","2026-07-09T05:31:28.665Z",,,,,,"2026-07-16T01:07:12.609Z","IPI-484","IPIX-INIT-001 — Operator Platform (Q3 2026)",,,"MediumRisk","fbf5660c-c02f-4bd9-8a85-472cd0149cb4",1307,"IPI-484","IPI-476, IPI-480",
"IPI-480","iPix1","Real-time sync via Supabase + Cloudflare Durable Objects","**Spec:** `linear/issues/IPI-480-PLN-005-real-time-sync.md`

## What this builds

Real-time synchronization for planner instances via **Supabase Realtime** (DB change streaming) + **Cloudflare Durable Objects** (presence/cursor sync). Multiple users see task updates and each other's cursor positions in under one second.

### Real-Time Update Flow

```mermaid
sequenceDiagram
    actor U1 as User A (Producer)
    actor U2 as User B (Photographer)
    participant SPA as Next.js SPA
    participant RT as Supabase Realtime
    participant PG as Postgres
    participant DO as planner-coordinator DO
    participant GW as planner-gateway Worker

    U1->>SPA: Drag task to new date
    SPA->>PG: UPDATE planner.tasks (RLS)
    PG-->>RT: change event
    RT-->>SPA: push updated task
    SPA-->>U1: render new position
    RT-->>SPA: push updated task (User B)
    SPA-->>U2: render new position
    SPA->>GW: send cursor position
    GW->>DO: broadcast presence
    DO-->>GW: presence list
    GW-->>SPA: show ""Maya is viewing Production""
```

### Cloudflare Edge Components

```mermaid
block-beta
    columns 3
    spa[""Next.js SPA""]:3
    gateway[""planner-gateway Worker""]
    do[""planner-coordinator DO""]
    kv[""planner-cache KV""]
    queue[""planner-notify Queue""]
    notify[""planner-notify Worker""]
    ai[""planner-ai Worker""]
    spa --> gateway
    gateway --> do
    gateway --> queue
    queue --> notify
    spa --> kv
    spa --> ai
```

### Acceptance criteria

* A — Supabase Realtime broadcasts planner.tasks/events/assignments changes on channel `planner:<instance_id>`
* B — Cloudflare Durable Objects track per-instance presence (who is viewing which task)
* C — WebSocket upgrade via planner-gateway Worker
* D — Sub-1-second latency for task updates
* E — Presence indicators in the planner workspace header","Backlog",,"High","1adb08a8-6c36-4bc9-8b47-2c9ffb827a89","DESIGN V2 — Operator React Parity","ai@socialmediaville.ca",,"build-on-v2, CLOUDFLARE, DESIGNV2, Feature, prefix:INT",,,,,"2026-07-09T01:06:58.563Z","2026-07-09T05:31:20.816Z",,,,,,"2026-07-16T01:06:59.340Z","IPI-484","IPIX-INIT-001 — Operator Platform (Q3 2026)",,,"MediumRisk","4da7e91a-3f34-4b4b-a9b5-89362e2f447d",1307,"IPI-484","IPI-476, IPI-478",
"IPI-479","iPix1","Role-based views + assignments","**Spec:** `linear/issues/IPI-479-PLN-004-role-based-views-assignments.md`

## Goal

Add instance-level role assignments and permission-aware views so each user sees only what matters to them.

## Problem

* Everyone sees the same schedule tab, which leaks details and creates noise.
* There is no way to assign owners to phases or restrict gate approvals.

## User story

> As a retoucher, when I open a production plan, I see only retouching tasks and approvals relevant to my role so I can focus without being overwhelmed.

## Acceptance criteria

* A — `planner.assignments` links user to instance with role and permissions JSONB.
* B — Default permission sets per role; owners can customize.
* C — Invite flow by email/role from planner settings.
* D — Timeline/kanban/calendar hide tasks the user cannot see; ""My tasks"" filter available.
* E — `/app/planner/dashboard` shows personalized stats and upcoming strip.
* F — Approval gates visible only to matching `phase.required_role`.

## Out of scope

Real-time presence, notifications, AI assignment suggestions, workflow gate logic.

## Wiring plan

* `app/src/lib/planner/permissions.ts`
* `app/src/components/planner/RoleDashboard.tsx`
* `app/src/components/planner/InviteMemberDialog.tsx`
* `app/src/components/planner/PlannerSettings.tsx`
* `app/src/app/(operator)/app/planner/dashboard/page.tsx`
* `supabase/functions/planner-invite-member/index.ts`

## Verify

* `cd app && npx vitest run src/lib/planner/permissions.test.ts`
* Browser login as retoucher: only retouching tasks visible
* `npm run supabase:verify-rls`","Backlog",,"High","1adb08a8-6c36-4bc9-8b47-2c9ffb827a89","DESIGN V2 — Operator React Parity","ai@socialmediaville.ca",,"build-on-v2, DESIGNV2, Feature, prefix:INT, RLS, UX",,,,,"2026-07-09T01:06:46.372Z","2026-07-09T02:13:07.504Z",,,,,,"2026-07-16T01:06:47.118Z","IPI-484","IPIX-INIT-001 — Operator Platform (Q3 2026)",,,"MediumRisk","b138c2e7-e53e-44d1-8867-a19b0eae786c",1307,"IPI-484","IPI-476, IPI-478",
"IPI-478","iPix1","Hybrid timeline / kanban / calendar UI shell","**Spec:** `linear/issues/IPI-478-PLN-003-hybrid-timeline-kanban-calendar-ui-shell.md`

## What this builds

A **hybrid Timeline / Kanban / Calendar** UI shell inside the planner workspace — the primary visual interface for managing shoot production plans. All three views share one data model.

The shell follows the 3-panel layout: NavSidebar (left), workspace + OperatorChatDock (center), IntelligencePanel (right).

### Planner UI Shell (Block Diagram)

```mermaid
block-beta
    columns 3
    nav[""NavSidebar""]:1
    workspace[""Workspace: Timeline | Kanban | Calendar""]:1
    intel[""IntelligencePanel""]:1
    chat[""OperatorChatDock""]:2
```

### Acceptance criteria

* A — Three view modes: Timeline (Gantt-style bars per task/phase), Kanban (status-column swimlanes), Calendar (month/week/day grid).
* B — View switcher in the workspace header; persisted per-instance in `planner.view_configs`.
* C — Timeline view: horizontal bars grouped by phase, dependency arrows, drag-to-shift.
* D — Kanban view: columns for `todo / in_progress / blocked / done / cancelled`, drag-to-move.
* E — Calendar view: tasks as events on a month/week/day grid, drag-to-reschedule.

### Component reuse

* `OperatorChatDock` (existing)
* `IntelligencePanel` (existing)
* `NavSidebar` (existing)
* New: `PlannerTimeline`, `PlannerKanban`, `PlannerCalendar` — swappable via `PlannerView` wrapper.

### Wireframe references

See Linear document ""[IPI-478](https://linear.app/amo100/issue/IPI-478/hybrid-timeline-kanban-calendar-ui-shell) Wireframes — Timeline / Kanban / Calendar"" for full ASCII wireframes of each view mode, spec tables, and responsive behavior.

### Verify

* `npm run dev` → `/app/shoots/[id]/schedule` loads Timeline by default
* All three view modes render without error
* View switch persists in `view_configs`","Backlog",,"High","1adb08a8-6c36-4bc9-8b47-2c9ffb827a89","DESIGN V2 — Operator React Parity","ai@socialmediaville.ca",,"build-on-v2, DESIGNV2, Feature, prefix:INT, UX",,,,,"2026-07-09T01:06:33.674Z","2026-07-09T05:33:07.265Z",,,,,,"2026-07-16T01:06:34.445Z","IPI-484","IPIX-INIT-001 — Operator Platform (Q3 2026)",,,"MediumRisk","f35f87db-9131-4fc4-9f8f-50e08565af3a",1307,"IPI-484","IPI-477, IPI-476",
"IPI-477","iPix1","Shoot production timeline template","**Spec:** `linear/issues/IPI-477-PLN-002-shoot-production-timeline-template.md`

## What this builds

A reusable **5-Week Product Shoot** workflow template that generates the full phase/task timeline when a shoot is created or opened — matching the SquareShot production pattern.

### 5-Week Timeline (Gantt)

```mermaid
gantt
    title 5-Week Product Shoot Timeline
    dateFormat YYYY-MM-DD
    axisFormat %b %d
    section Pre-Production
    Brief confirmation      :done, a1, 2026-08-01, 3d
    Casting                 :active, a2, after a1, 4d
    Soft hold on shoot date :a3, after a2, 2d
    Item delivery           :a4, after a3, 4d
    Outfit confirmation     :a5, after a4, 3d
    section Logistics
    Payment & Scheduling    :a6, after a5, 3d
    Awaiting shoot          :a7, after a6, 3d
    section Production
    Production              :crit, a8, after a7, 4d
    section Post-Production
    Retouching              :a9, after a8, 3d
    Final approval          :a10, after a9, 2d
    Product return          :a11, after a10, 2d
```

### Acceptance criteria

* A — Workflow template ""5-Week Product Shoot"" with phases: Brief confirmation, Casting, Soft hold on shoot date, Item delivery, Outfit confirmation, Payment & Scheduling, Awaiting shoot, Production, Retouching, Final approval, Product return.
* B — Default business-day durations for each phase.
* C — Opening `/app/shoots/[id]/schedule` ensures a planner instance exists and generates tasks.
* D — Idempotent: no duplicate tasks on re-open.
* E — Existing shoots can be backfilled via script.

### Out of scope

Drag/edit UI, dependencies, AI generation, real-time sync.

### Wiring plan

* `supabase/functions/seed-shoot-plan/index.ts`
* `app/src/lib/planner/templates/shoot-5-week.ts`
* `supabase/seed-planner-workflows.sql`
* `app/src/app/(operator)/app/shoots/[id]/schedule/page.tsx`

### Verify

* `npm run supabase:push` + seed script
* `npx supabase functions invoke seed-shoot-plan --linked`
* `npm run supabase:verify-rls`","Backlog",,"High","1adb08a8-6c36-4bc9-8b47-2c9ffb827a89","DESIGN V2 — Operator React Parity","ai@socialmediaville.ca",,"build-on-v2, DESIGNV2, Feature, prefix:INT, Supabase",,,,,"2026-07-09T01:06:20.362Z","2026-07-09T05:30:59.998Z",,,,,,"2026-07-16T01:06:21.410Z","IPI-484","IPIX-INIT-001 — Operator Platform (Q3 2026)",,,"MediumRisk","d0893e02-5685-475e-a877-7bc65453d072",1308,"IPI-484","IPI-476",
"IPI-409","iPix1","SCR-20 · Talent Profile","## SCR-20 — Talent Profile

**Track:** Screen · **Priority:** P2 · **Step:** 10 · **SSOT:** `Universal-design-prompt-new/tasks/screens/SCR-20-talent-profile.md`

**Branch:** `ipi/scr-20-talent-profile`

**Route:** `/app/matching/talent/[id]`

**Deps:** RF-04b Profile360 extract · SCR-09 matching

## User story

As an operator, I view a talent profile with portfolio, rates, and availability summary.

## Acceptance criteria

- [ ] Profile360 layout from RF-04b
- [ ] Wired to talent RPCs
- [ ] HTML parity
- [ ] Tests green
- [ ] ""Request Booking"" CTA routes to `/app/matching/talent/[id]/book` when the Booking Wizard is available ([IPI-410](https://linear.app/amo100/issue/IPI-410/scr-21-booking-wizard) audit finding — no separate issue created)

---

## Wireframe (ASCII — must match DC)

**SSOT:** `Universal-design-prompt-new/tasks/screens/wireframes/SCR-20-talent-profile.md`

# SCR-20 wireframe — Talent Profile

> **SSOT:** [`SCR-20-Talent-Profile.dc.html`](<../../../Pages/SCR-20-Talent-Profile.dc.html>) · Method: [`ipix-wireframe`](<../../../../.claude/skills/ipix-wireframe/SKILL.md>)
> **Rule:** ASCII zones must match DC `grid-template-columns` and Workspace blocks — not invented layout.

## Shell archetype

| Field | Value |
| -- | -- |
| Archetype | `fixed-3col` |
| DC grid | `56px | minmax(0,1fr) | 320px` |
| Intelligence width | 320px |

## ASCII layout (lo-fi)

```text
+------+---------------------------+------------+
| Nav  | Workspace                 | Intelligence|
| 56px |                           | 320px|
+------+---------------------------+------------+
|      | Profile hero                            |            |
|      | Stats + availability                    |  Rail      |
|      | Book CTA                                |  context   |
|      |                                         |            |
+------+---------------------------+------------+
DC grid: 56px | minmax(0,1fr) | 320px
```

## Workspace zones (from DC)

| # | Zone | React target |
| -- | -- | -- |
| 1 | Profile hero | `*-workspace.tsx` region |
| 2 | Stats + availability | `*-workspace.tsx` region |
| 3 | Book CTA | `*-workspace.tsx` region |

## States to implement

- [ ] operator vs model mode

## Zone spec table

| Zone | Interaction | Data | Empty |
| -- | -- | -- | -- |
| Profile hero | *from DC* | *§0 Prove* | *EmptyState* |
| Stats + availability | *from DC* | *§0 Prove* | *EmptyState* |
| Book CTA | *from DC* | *§0 Prove* | *EmptyState* |
","Backlog",5,"High","1adb08a8-6c36-4bc9-8b47-2c9ffb827a89","DESIGN V2 — Operator React Parity","ai@socialmediaville.ca",,"DESIGNV2",,,,,"2026-07-06T09:37:17.627Z","2026-07-09T04:57:47.620Z",,,,,,"2026-07-13T09:37:18.314Z",,"IPIX-INIT-001 — Operator Platform (Q3 2026)","a3b8be45-5b64-4b60-92f2-c733831784b1","DV2-M3 · Workspace Parity","MediumRisk","54691131-5a2a-41b7-9046-fb7c3d23294c",5117,"IPI-410, IPI-411, IPI-392","IPI-405",
"IPI-407","iPix1","SCR-15 · Notification Center inbox","**Plain English:** Build the Notification Center at /app/inbox. Create a new route showing notifications grouped by date (Today/Yesterday/This Week/Earlier). Click to mark as read. Real-time updates deferred — poll on page focus for MVP.

## Notification Row Anatomy

```
[icon]  Title text (bold if unread)        2m ago  ●
        Preview line truncated to 1 line
```

## User Journey

```mermaid
flowchart LR
  A[Navigate to /app/inbox] --> B[Loading: 5 shimmer rows]
  B --> C{notifications loaded?}
  C -->|Yes| D[Grouped: Today / Yesterday / This Week / Earlier]
  C -->|Empty| E[""No notifications yet"" + illustration]
  C -->|Error| F[ErrorState + retry]
  D --> G[Click row → mark as read]
  G --> H[Dot removed, row dims, badge updates]
```

## Route & Grid

* **Route:** `/app/inbox` (greenfield — create)
* **Shell:** fixed-3col, grid `56px | minmax(0,1fr) | 320px`
* **Nav sidebar:** add inbox link with unread badge

## API / RPC Verification

| Endpoint | Status |
| -- | -- |
| list_notifications | 🟢 live |
| mark_notifications_read | 🟢 live |
| Realtime (RT1) | 🔴 deferred — poll MVP |

## States

| State | AC |
| -- | -- |
| Populated | Grouped by date, icon + title + timestamp + unread dot per row |
| Loading | 5 shimmer rows matching row height |
| Empty | ""No notifications yet"" illustration |
| Error | ErrorState with retry |
| Marking-read | Optimistic: dot removed, row dims |

## Component Reuse

EmptyState, ErrorState, Skeleton — from ui/

## Files

* `app/src/app/(operator)/app/inbox/page.tsx` (new)
* `app/src/components/notifications/inbox-workspace.tsx` (new)
* `app/src/components/notifications/notification-row.tsx` (new)
* `app/src/components/notifications/inbox.module.css` (new)
* `app/src/components/operator-panel/nav-sidebar.tsx` — add link + badge

## Playwright Matrix

| State | 1280px | 390px |
| -- | -- | -- |
| Populated | Grouped rows, unread dots | Full-width rows |
| Loading | 5 shimmer rows | Same |
| Empty | ""No notifications"" illustration | Same |
| Mark-read | Click → dot removed | Same |

## Out of Scope

Real-time push (RT1), notification settings, backend migrations, mobile shell

## Risk

| Risk | Mitigation |
| -- | -- |
| Badge needs re-fetch on nav | Client-side counter + refresh on focus |
| Large notification set | RPC max 50 |

## Skills

design-to-production, nextjs-developer, ipix-supabase, task-verifier, vercel-react-best-practices","Backlog",3,"High","1adb08a8-6c36-4bc9-8b47-2c9ffb827a89","DESIGN V2 — Operator React Parity","ai@socialmediaville.ca",,"DESIGNV2",,,,,"2026-07-06T09:37:15.463Z","2026-07-07T07:43:08.359Z",,,,,,"2026-07-13T09:37:16.485Z",,"IPIX-INIT-001 — Operator Platform (Q3 2026)","a3b8be45-5b64-4b60-92f2-c733831784b1","DV2-M3 · Workspace Parity","MediumRisk","cce9812e-2983-4c84-a4a5-89c031577669",5117,"IPI-401, IPI-425","",
"IPI-405","iPix1","SCR-09 · Talent matching workspace","**Plain English:** Rewrite the Matching/Talent workspace at /app/matching to match the DC design. Current code uses inline styles (`p-6`, `text-lg`, `text-[#111]`) instead of tokens.css — must migrate. Add swipe deck + table view modes. Fix all style token violations.

## User Journey

```mermaid
flowchart LR
  A[Navigate to /app/matching] --> B[Loading skeleton: 6 cards]
  B --> C{search_talent loaded?}
  C -->|Yes| D[Choose view: Swipe | Table]
  C -->|No (empty)| E[""No talent matches this brief"" + ""Adjust filters""]
  C -->|Error| F[Error banner + retry]
  D --> G[Browse cards/rows]
  G --> H[Toggle shortlist]
  H --> I[Shortlist count badge updates]
```

## Route & Grid

* **Route:** `/app/matching` (exists — TalentTab live with inline styles)
* **Shell:** fixed-3col, grid `56px | minmax(0,1fr) | 340px`
* **DC workspace width:** auto

## Style Enforcement (MUST show 0)

`rg 'p-6|text-lg|text-\[#111\]' app/src/components/matching/`

## API / RPC Verification

| Endpoint | Status |
| -- | -- |
| search_talent | 🟢 live |
| toggle_shortlist_item | 🟢 live |
| shortlists | 🟢 live |
| get_talent_profile | 🟢 live |

## States

| State | AC |
| -- | -- |
| Swipe view | Card deck, name/role/match%/shortlist toggle, 360px max |
| Table view | Sortable columns: name, role, match, availability |
| Loading | 6 skeleton shimmer cards |
| Empty | ""No talent matches"" + ""Adjust filters"" button |
| Error | Banner + retry |
| HasShortlist | Count badge in filter bar |

## Component Reuse

EmptyState, ErrorState, StatusChip, EntityList (table view), Skeleton — all from ui/

## Files

* `app/src/app/(operator)/app/matching/page.tsx` — RSC fetch
* `app/src/components/matching/matching-workspace.tsx` (new)
* `app/src/components/matching/matching.module.css` (new, replaces inline)
* `app/src/components/matching/talent-tab.tsx` — rewrite to tokens.css

## Playwright Matrix

| State | 1280px | 390px |
| -- | -- | -- |
| Swipe | Card deck, arrows, shortlist toggle | Single card |
| Table | Sortable columns | Single column |
| Loading | 6 skeleton cards | Same |
| Empty | Illustration + ""Adjust filters"" | Same |
| Error | Banner + retry | Same |

## Out of Scope

Matching.v2 (brand↔creator, per ADR-002), Casting Review sub-view, backend migrations, mobile shell

## Risk

| Risk | Mitigation |
| -- | -- |
| Inline style cleanup breaks layout | Visual regression screenshots before/after |
| ADR-002 confusion | Document: two distinct screens |

## Skills

design-to-production, nextjs-developer, copilotkit, ipix-supabase, mastra, task-verifier, vercel-react-best-practices","Backlog",5,"High","1adb08a8-6c36-4bc9-8b47-2c9ffb827a89","DESIGN V2 — Operator React Parity","ai@socialmediaville.ca",,"DESIGNV2",,,,,"2026-07-06T09:36:59.850Z","2026-07-07T07:43:02.850Z",,,,,,"2026-07-13T09:37:00.579Z",,"IPIX-INIT-001 — Operator Platform (Q3 2026)","a3b8be45-5b64-4b60-92f2-c733831784b1","DV2-M3 · Workspace Parity","MediumRisk","35b941ba-87b9-45c6-9e9f-c935c692b592",5117,"IPI-250, IPI-385, IPI-387","",
